yelping_since,votes.funny,votes.useful,votes.cool,review_count,user_id,fans,average_stars,usefulness,fun,Popularity
2010-10,0,1,0,1,CCFt7NYJMS2tcgo9uhwRvw,high,5,1,1,Low
2011-01,11,17,1,10,o625WyBtvJ_G3s0FRr6RmQ,high,2,1,1,Low
2011-02,2,27,9,19,teMRfPFaXc-glSs1jdTyFw,high,4,5,1,Medium
2011-03,5,20,8,33,#NAME?,high,3,1,1,Low
2011-03,126,413,255,222,eQ4PN9G8Q9ipqBxFrAS7YQ,high,3,5,1,Medium
2011-03,2,3,3,28,njpjzE7lRhaWDg688gU2bg,high,4,1,1,Low
2011-03,2,2,1,1,wfMv30Bf3kgHtHvoQrRc6Q,high,5,5,3,High
2011-04,0,0,0,1,Jog0RKgt6CpidKgAoXps2A,high,5,1,1,Low
2011-05,1,35,4,13,fI1UMAXzAnV1VkPYGQtEng,high,4,5,1,Medium
2011-07,5,11,5,19,JWas0Puqpb9k9MxT_Wv4Tg,high,3,1,1,Low
2011-09,6,24,4,14,gh2_LticbfRCOlfRXx3fPQ,high,3,1,1,Low
2011-10,93,66,25,46,zlFnsrynYyPu7VuO6CGBmA,high,4,5,3,High
2011-11,6,43,7,58,vpwhEbSTNJtQAF50dEMO2A,high,3,5,1,Medium
2011-11,3,5,1,8,29YTm4rTpje0f26CWIPUcQ,high,3,5,1,Medium
2012-01,0,2,0,3,0bS4Xdg6xyXKepmayuh-8Q,high,3,1,1,Low
2012-01,1,8,0,7,x6KYfADVQQsep1RcxQ2W_g,high,2,5,1,Medium
2012-04,0,0,0,2,AeUdBbzKRSy0G_SQ7qMjJg,high,1,5,1,Medium
2012-04,2,1,0,2,9BKtUIzn5Uph8KnmFib7xQ,high,3,5,1,Medium
2012-05,3,11,2,12,Pmzude7XwUc1j9qnh2K7gw,high,4,5,1,Medium
2012-06,0,0,0,4,N5P7M7Qpt1xzaIcARSftbg,high,3,5,1,Medium
2012-06,0,2,2,4,9CiO3k_16ejTmMEiXU4DOg,high,5,1,1,Low
2012-07,1,5,1,2,6QY9iSHEHRpIiCzYSgS8Pw,high,3,1,1,Low
2012-07,8,24,3,12,3MDZIX3s4TgRPRcmQhCDPA,high,4,5,1,Medium
2012-07,3,9,1,28,wPJAusnJ9LIZokRvBadOhA,high,3,1,1,Low
2012-09,12,27,3,15,759C80yVDhpxG9-Kg92SwQ,high,3,1,1,Low
2012-10,2,24,2,16,1j4yXg5Lfl9YzeESy4ZMiw,high,2,5,1,Medium
2012-10,0,0,0,2,GP68togo6XkoHHBE6AUkpg,high,3,5,1,Medium
2012-11,6,8,4,8,WguMJXDNO4v90BQRJ7VlGg,high,4,5,1,Medium
2012-11,24,32,11,52,gJi_F73xWhv8GEsJyp3vKg,high,3,5,1,Medium
2013-01,0,11,2,15,yfa-2UVleHpL5Wm20xFlgQ,high,3,1,1,Low
2013-01,5,17,6,14,fmUMzhKeU_0O3wKhMEr6iw,high,4,1,1,Low
2013-01,0,8,4,6,4LERTwl7EOZlPBj9DOKENg,high,3,5,1,Medium
2013-02,0,0,0,3,sAWN7b_aNZRyv1YuDv62pQ,high,3,1,1,Low
2013-02,1,2,0,1,Tt8ZVXh74KGPlaXzkYr39Q,high,2,5,1,Medium
2013-02,0,0,0,3,Y8WQDDMV3vMFIQHwg25rdg,high,3,5,1,Medium
2013-06,0,0,0,2,M9AdGXxUOiZ9FA5VcInl4Q,high,3,5,1,Medium
2013-07,0,0,0,1,0O4tplcM3l7Vy0YP8kcwgQ,high,5,5,1,Medium
2013-07,0,1,0,4,d4la7IYmyqPPV6RxG2VVHw,high,4,5,1,Medium
2013-07,1,1,1,2,3jR-W7dEQEULvYDeqraxVw,high,5,5,1,Medium
2013-07,0,0,0,3,QbE5KQHTZj4gKA_qt2jBAQ,high,3,5,1,Medium
2013-09,2,4,0,42,tZZty5UNWrOiPlfsu_XCsQ,high,3,5,1,Medium
2013-10,1,2,2,7,mxAFpIy-tcNQkUKnnKxX_Q,high,4,5,1,Medium
2014-01,1,2,0,13,VpsFsXYiVGmsBprr9Onb0Q,high,4,1,1,Low
2014-04,15,19,13,6,8cXpBssSvU6sed_4iX4CeA,high,3,1,3,Medium
2014-04,0,5,4,3,WbeUV41fKMLJTKFSv-sWoQ,high,4,5,1,Medium
2014-05,0,1,0,2,hehKP6B77yPFythhsCn5sQ,high,1,1,1,Low
2014-06,30,45,27,31,Nv3_1cxr9L4V6-cRVJQ_yQ,high,3,5,1,Medium
2014-06,2,0,0,2,rrGaPRXG4O8jNhbyTUzMEw,high,2,5,1,Medium
2014-06,4,16,9,19,EBC7wHfgB4OqzUAUU9RSwA,high,3,5,1,Medium
2014-08,0,1,0,3,wd5LbxpbBEP7FVgU_f3ptQ,high,5,5,1,Medium
2014-10,0,2,0,5,#NAME?,high,4,5,1,Medium
2014-10,0,5,0,12,QpV9pSeeMuKJA0qLHJ27mA,high,3,5,1,Medium
2014-12,0,0,0,1,hSYqAqxdifcULKX_-r9C_A,high,2,5,1,Medium
2014-12,0,3,0,12,4GyUVADUqSP83vGskcz3GQ,high,2,5,1,Medium
2014-12,0,0,0,3,rLOlKKUULGTkjfPnaiKniA,high,4,5,1,Medium
2014-12,0,0,0,2,XEufTLZMDW_RcmO6O1NYwg,high,4,5,1,Medium
2015-02,0,3,0,6,zwzLIS-noG9ynASgrNbNgA,high,4,5,1,Medium
2015-02,1,14,4,44,d560VRV3ccG3MW7ivjaMnA,high,4,5,1,Medium
2015-02,0,2,1,10,XQiaNhoZbdxaN3pJIBADvw,high,4,5,1,Medium
2015-03,0,1,1,2,VIPZtJ3M7__ePrcE1AMsNg,high,5,1,1,Low
2015-05,5,6,3,4,5V5IzoIoEYb1tCned0oUNg,high,1,5,3,High
2015-06,0,0,0,1,QMMa505Dsn94afwCckZz6w,high,5,5,1,Medium
2015-08,0,2,0,6,Yb1f5A96UBOkdX81WbUSKQ,high,3,5,1,Medium
2015-08,0,0,0,4,_Iqal7suM7Q-I5U6SUU7cA,high,5,5,1,Medium
2004-10,36,87,43,170,wy6l_zUo7SN0qrvNRWgySw,high,3,1,1,Low
2004-10,9,50,8,30,91ovYNfGfPiqe6GbTcPwTg,high,3,1,1,Low
2004-10,8,29,7,16,8VJUJbrfPYJC0vMAtXGR_g,high,3,1,1,Low
2004-10,18,97,66,50,1_zgVZLS3wadNBPQeebSHA,high,3,1,1,Low
2008-06,15,74,15,49,RG3fSnsUFnagOcJgyOzMEQ,high,3,5,1,Medium
2008-11,0,2,0,6,1pbDBfeOWnRVrotNPRzAzw,high,4,5,1,Medium
2008-11,8,18,14,29,gID4clLTrwhR1yX4hTknag,high,4,1,1,Low
2008-11,4,19,5,6,CgGT6sr4OCF2BHYngOIqlw,high,3,1,1,Low
2008-11,127,315,108,117,jLtS1O2tN7zNop8htTe9ZA,high,4,1,3,Medium
2008-11,55,223,71,122,G_BvSxt71MqF_x4jgEyqSA,high,4,5,1,Medium
2008-12,0,2,0,3,4RrCln7twMM-wV1Ncljx-w,high,4,5,1,Medium
2010-02,2,10,2,12,fcgtKNakQergtqDK4uwQvg,high,4,5,1,Medium
2010-02,2,3,1,4,k9a9gXZfjZD77t5yqW1WNw,high,3,1,1,Low
2010-02,8,22,5,11,7cXJsmMH_i-Uf1ilT7JdZQ,high,4,1,1,Low
2010-02,2,13,4,8,AtH6R8W4y6lYNKunDhBk9A,high,3,5,1,Medium
2010-07,13,41,14,43,0ZtOuzEA3k8XjSaf6MgR-w,high,3,1,1,Low
2010-07,0,7,1,4,6CfB1MEvy7AQkP0Mpbsrjw,high,4,5,1,Medium
2010-07,10,10,5,16,rOxvTXSB5D2mlxTHzkz8gQ,high,3,5,1,Medium
2010-08,33,82,47,113,sM3Zp86XEyNm8_k23Y1sfw,high,4,5,1,Medium
2010-10,2,12,1,22,J817Cq7qJ9bYvJVFHlUgCw,high,4,5,1,Medium
2010-10,15,35,12,90,VoCGQ6YyaXzQ_AZ9eI1cog,high,3,5,1,Medium
2010-10,19,13,2,18,Hh1ogFYydigptYvHeqyAog,high,4,1,1,Low
2010-10,48,134,80,47,_thh8zy7Z7y9S0hrRa6U_w,high,3,5,3,High
2011-01,1,5,2,18,ryu1gXViHZJ38-o9fr9vVw,high,4,5,1,Medium
2011-01,0,5,1,7,LF73iBr-ynbAi-swAQbGCQ,high,4,1,1,Low
2011-02,0,6,1,5,W-zc55RoBsmwvxgYp3R4hg,high,3,5,1,Medium
2011-03,0,0,0,1,dLoeRu5JwF1B7zyntMwk-g,high,5,5,1,Medium
2011-03,1,3,0,3,9dFqv6QwFdZa9K3JaQcuvQ,high,1,1,1,Low
2011-05,90,302,128,76,ZIaaMdfsTFdwFZejaGf1tw,high,3,5,3,High
2011-05,0,1,0,1,elZVhTAf33xz9qxF6JBG1A,high,1,1,1,Low
2011-09,1,5,0,2,nNvILCIlzi8dAiKhv3rqvQ,high,3,5,1,Medium
2011-11,1,2,0,2,qFprrl5YkNuffnQ6Y634RQ,high,2,5,1,Medium
2011-11,0,0,0,1,YwYV9Ll-jEqVt2ain3RQaQ,high,5,5,1,Medium
2011-11,0,8,1,13,8hFedc5tTvWDEhWiY1rqow,high,4,5,1,Medium
2012-01,0,0,0,1,zij94_iRcsUHH-hY1RJyGA,high,5,5,1,Medium
2012-01,0,2,0,5,Q5KuehWk6WB4VRCZJTntiQ,high,4,1,1,Low
2012-02,1,11,1,5,YNNbjuxCfl_K0oGOfiZolA,high,2,5,1,Medium
2012-02,9,8,4,13,u51Y4YnhAbWn0nghijc2dw,high,3,1,1,Low
2012-03,1,28,8,25,cA2WiaIiICu_qzM8UApIww,high,4,5,1,Medium
2012-04,3,7,3,9,lBL9SAzTQYLGPu9tWMUujg,high,3,1,1,Low
2012-04,1,9,0,7,oBiyw7wCrmA2pHynNcrDrQ,high,1,5,1,Medium
2012-06,0,1,2,4,6mUt5qB2iYedSNuvJ1RZJA,high,2,1,1,Low
2012-07,49,101,26,61,twjEKRSbVZhKbmVZxdGYFQ,high,3,5,1,Medium
2012-08,2,0,0,6,2Wc38GgCFxQMertogKAb9Q,high,2,5,1,Medium
2012-08,0,0,0,1,3LaMjNFMp-xB18gTflid4Q,high,5,1,1,Low
2012-08,2,5,1,4,Zsrf3dh7FKVEzt_VQEUOkQ,high,3,5,1,Medium
2012-08,1,2,2,3,CHw1xt52QaoOdN35H4ALDg,high,4,5,1,Medium
2012-10,1,0,0,3,OT47MP02ay6hEGq3Z_-74g,high,2,5,1,Medium
2012-11,0,0,0,1,w6ninUhyiTkkS_gtt4w4kQ,high,2,5,1,Medium
2012-11,2,2,1,5,quFkV1n26o7HBxzxn6DWzA,high,4,5,1,Medium
2013-01,0,1,0,2,VizViyvwGnH_Td6qFly4gQ,high,2,5,1,Medium
2013-02,0,4,5,7,2dTIPblplpkckz2dFbi0Uw,high,4,5,1,Medium
2013-03,2,1,0,2,ZqT1AG3ecTkq-Y90ehlhnA,high,3,1,1,Low
2013-03,11,103,10,29,TaSjBtorDIrsQiLQ5aCHbA,high,3,5,1,Medium
2013-03,0,1,0,13,RWspiY1R25ukB2kxX1nvMA,high,3,5,1,Medium
2013-07,0,1,1,2,cZsN8TiRD6DWpKC3u4ABnw,high,4,5,1,Medium
2013-07,3,3,4,4,lBO20MvNrMUNvFqmxx-WNQ,high,2,5,1,Medium
2013-07,0,1,0,1,ZcAxKneIBUVIfzJ2egI0Og,high,2,5,1,Medium
2013-08,2,5,1,12,OajjIgIMYEzYx9vAFpVe3A,high,2,5,1,Medium
2013-10,0,0,0,1,qj44fdA4bs7qReU0Tn0LDg,high,5,1,1,Low
2013-11,16,34,25,12,SSZJ3u5kenzUlTjM_7U77Q,high,3,5,3,High
2014-01,0,0,0,1,XyQb8Cmrdl12Xd0bDtZQ8A,high,2,5,1,Medium
2014-04,0,0,0,2,Tob0G5xVakvmL63KoDqucw,high,5,5,1,Medium
2014-04,0,3,0,5,hggnF0ZDyswwUtiRduD3yw,high,2,5,1,Medium
2014-05,0,1,1,4,NvAP6SAZ5NyE0UxRbKdsJA,high,4,5,1,Medium
2014-06,0,0,0,2,WtMAXgMkpqBETohH-faeGg,high,4,5,1,Medium
2014-06,1,7,0,8,Y04IUT2UexIm6cJu_zFG6A,high,3,5,1,Medium
2014-06,0,0,0,1,7Vp19cflfw84AJBzh2jNww,high,3,5,1,Medium
2014-07,0,0,0,1,rNYfhiqxAxxD7zLCSX2JlQ,high,5,1,1,Low
2014-07,0,4,0,3,7pJePwn8indandJlTnSkiA,high,3,5,1,Medium
2014-08,0,9,2,9,_ITsRnJ6P-v1tGQVENY2mA,high,4,5,1,Medium
2014-09,0,0,0,3,4gZBDPzHmtSaqGhOGTa4Jw,high,2,5,1,Medium
2014-09,0,1,0,2,jqKpZBvs5uHrZYXzXNTYgg,high,3,5,1,Medium
2014-11,0,0,0,12,QTq-3pfgKW9WtojisDuhJg,high,3,5,1,Medium
2014-12,1,1,1,2,#NAME?,high,3,5,1,Medium
2014-12,0,0,0,1,I0egPw04pFzzvCL4Pn36ZQ,high,5,5,1,Medium
2014-12,1,0,0,1,L__sgHmNVqNJqIcErGWuGA,high,4,5,1,Medium
2015-01,0,5,6,11,DJq4HSKyLb9HsMEpUfRItA,high,4,5,1,Medium
2015-02,3,10,3,22,K2Tml6vK2hy1RRAiRFrXZg,high,4,5,1,Medium
2015-03,0,0,0,1,FlkQpUVfD4yvAFDke7JzaQ,high,1,5,1,Medium
2015-03,0,0,0,1,PCJ_bFOw0pWC1CsuUzH_Hw,high,5,5,1,Medium
2015-03,0,1,0,1,J8TaZS2FSePhLrpvj-or-w,high,1,5,1,Medium
2015-04,0,1,1,1,AxY6dgTLj4liaX8AaKBMXg,high,5,5,1,Medium
2015-05,0,1,0,1,I9CkVjVwyQ5_UCtnu_SGyA,high,5,5,1,Medium
2015-05,0,0,0,1,EOx95dsMpvmhqULQEcRdMw,high,1,5,1,Medium
2015-06,0,2,1,2,eYb3v5_QYyxkNHNbLBZSzg,high,3,5,1,Medium
2015-07,0,1,1,5,55drUxh7IDhhEZ0NQtyPVQ,high,4,5,1,Medium
2015-07,0,0,0,1,hVslpsNn7e2jrpV8vbPu8Q,high,5,5,1,Medium
2015-08,0,0,0,1,Oh5nIiSOhYrXeixNyS0HTA,high,5,5,1,Medium
2015-09,0,1,0,1,R66k6LgcsDFPX78KfTCbqQ,high,1,1,1,Low
2004-10,221,284,230,158,T4kuUr_iJiywOPdyM7gTHQ,high,4,1,3,Medium
2007-06,36,83,41,57,nr3ThP62bmCQYazkZJYfiw,high,3,1,1,Low
2008-02,76,298,93,231,qS8M-5H4XsI1wxGID_fOkw,high,3,1,1,Low
2008-11,5,22,8,13,38Ts-ntyYF_qq_HnI03YtQ,high,4,5,1,Medium
2008-11,3,33,9,50,tESPBtA3tN18maiwPdPOhQ,high,4,1,1,Low
2008-11,569,1087,750,383,dfkRRR7vHoF_0ApWjHsOHA,high,3,1,3,Medium
2009-08,6,33,6,19,e-hBnxMWmzSut-BlyxR2KQ,high,2,5,1,Medium
2009-08,0,6,1,6,WDeq2pBUP3bCXt8aW9nUew,high,4,1,1,Low
2009-08,2,2,2,1,jRPp4_s0nyH6Sj7QJjZrNg,high,5,1,3,Medium
2010-07,7,18,7,11,BRt9eA4jqrL5Dr-vzYufkQ,high,3,5,1,Medium
2010-07,2,1,1,8,8GQnBBVk_PXIV6IFMtnjxw,high,4,5,1,Medium
2010-08,0,13,2,18,HN6NvF8R_FWkVAl_jCxncA,high,4,5,1,Medium
2010-09,8,11,1,13,p0hL8ff2eQx7PkLXp7VRog,high,4,1,1,Low
2010-10,4,14,1,7,qvIagE3rUh3-vUfBpunJ3Q,high,3,5,1,Medium
2010-10,0,0,1,1,7wEKNnc2UE8LnjlnjMx_rg,high,5,5,1,Medium
2010-10,0,12,1,35,NuOuB5FQIt6paMRpNCzB_w,high,2,5,1,Medium
2010-10,1,1,0,1,gy1bZp4i2gJCLX9mPnIWZw,high,5,1,1,Low
2010-10,9,14,10,1,TjwHoiU_SlOeeqHXI2rnsA,high,2,5,5,High
2011-01,3,6,2,6,nuW7cTZhuSRupXeFbNMSRg,high,3,1,1,Low
2011-02,8,34,12,16,tmLhhvE99IY-FipnRCgdnw,high,4,5,1,Medium
2011-03,2,1,0,3,FNswzUrNaizQUikBMfM7sw,high,5,5,1,Medium
2011-03,28,105,29,114,N1M5AB-8Ex89HvEzqe-hdw,high,3,5,1,Medium
2011-03,0,0,2,1,pU5DBd5LIs0Xw4s8xNL4yQ,high,5,5,3,High
2011-03,0,2,0,2,aQ4-CB1xvvQhw9OJ9KwrVA,high,5,5,1,Medium
2011-05,2,3,1,4,XmIprUVHZ6SPeP7Zq4dEZg,high,2,5,1,Medium
2011-05,133,295,114,563,totSIgraA3tIEh2Kbt82_w,high,3,1,1,Low
2011-07,11,34,10,23,77h1ZSu95luzAIRqvoq2-g,high,4,5,1,Medium
2011-07,0,4,1,12,UExY21QBCBokzfBcc8acaQ,high,4,1,1,Low
2011-07,53,144,67,69,Lez9gtm3i3mjtGPY6wKINQ,high,3,1,1,Low
2011-07,0,18,7,4,rQHmIzLwsC_ZlNr1oBSLVQ,high,5,1,1,Low
2011-07,11,81,28,50,bZpBAaxC0L9LzrQPUJF7ew,high,3,1,1,Low
2011-09,2,7,0,5,j9RfgsHE15SZF9qxQ7IFow,high,4,5,1,Medium
2011-09,1,2,1,5,_vcndSGDXD86u0Nfy2_Ibg,high,3,5,1,Medium
2011-10,2,3,3,8,UaZztLZ88arKfk3_p-e0GA,high,3,1,1,Low
2011-11,1,10,0,6,YYOklfC9jIZ7gMQz1jNc4w,high,4,5,1,Medium
2012-01,0,1,1,3,AY4tUzGFWmgPT7NGqCCuyA,high,5,1,1,Low
2012-01,9,20,7,15,QLLHQmWppw-ZTuFy_HFo2w,high,3,5,1,Medium
2012-02,0,1,0,10,GWJafGP6c-7Yw8WUzIsVKg,high,4,5,1,Medium
2012-02,0,0,2,2,c128ibcYcM_2hxoXZ9IBQg,high,5,5,1,Medium
2012-02,0,4,4,4,JMDB3xjBzyhSHwRFwx3j3Q,high,3,5,1,Medium
2012-02,8,23,9,47,z_ty_Y3Br3Ho5yMlm1gjdg,high,4,5,1,Medium
2012-04,0,0,0,1,kRkyctMJKJiHTwIQX9QjLA,high,5,5,1,Medium
2012-06,0,6,1,10,IKGZrqqwtpZh9QNa5ZR9xg,high,3,5,1,Medium
2012-06,0,0,0,1,jbxFzziR8Ww08rG_yHqx_A,high,2,5,1,Medium
2012-06,0,0,1,1,ckLAlJbffAvHZ3FzyfhfrQ,high,5,5,1,Medium
2012-06,0,1,0,1,QXwSbE7fwXlBROW6E_FcqQ,high,5,5,1,Medium
2012-07,4,16,0,19,2Nnx6WZUHzJvn-eALm11QQ,high,3,5,1,Medium
2012-09,0,0,0,1,sy9RTX5aegRBTiiq2TLuaQ,high,5,1,1,Low
2012-10,10,43,7,41,MF6IDd6Win_AFL727RtjcA,high,4,5,1,Medium
2012-10,4,9,2,18,0z7giV-P4XLXFFj8ZtUpDg,high,3,1,1,Low
2012-11,6,28,9,14,cZvln28-OvaP20DaVNUMSQ,high,4,1,1,Low
2012-11,0,3,2,1,dBj6GNmojgWI4IdfP_JT-w,high,1,5,3,High
2012-11,1,0,1,3,g_Jo0KdhK-kb2yJwznt7nw,high,3,5,1,Medium
2013-02,1,2,0,6,P8qBKYFiv11RBqrhSMHh3w,high,4,1,1,Low
2013-03,1,4,0,2,TsTapTaf-3gnt8Yuq-ZP6w,high,2,5,1,Medium
2013-03,0,0,0,1,e6sWAG1rgVQw-WOQwbz75g,high,5,5,1,Medium
2013-03,0,1,0,4,Wxc7kAWm3A8RI-XExyHzPw,high,2,5,1,Medium
2013-05,0,3,0,5,LF7R1BZYsLI6u096pT0XGw,high,4,5,1,Medium
2013-07,1,3,1,4,ySgcvi2jwJM9qhUUSL5ifQ,high,2,1,1,Low
2013-08,1,22,3,7,XTgvfE1YUB1g5ErOGG-YkQ,high,2,5,1,Medium
2013-10,0,0,0,2,z-0l9wtrlGBSyMlj4BP9Lw,high,2,5,1,Medium
2013-11,2,31,5,51,tk-ObYoYB9KcPNDR2pqj3g,high,4,5,1,Medium
2014-01,1,1,0,4,hZWe8DQtF9gGNARP2sZZ7A,high,3,5,1,Medium
2014-01,0,0,0,3,Myk_DvYBSwKqPuC1MK8FyQ,high,5,5,1,Medium
2014-01,3,4,0,7,eeLTQIE_Xran4DHmtj4O2A,high,3,5,1,Medium
2014-01,0,0,0,1,lYE_lgbkgUROt2PD_WSWmw,high,4,5,1,Medium
2014-04,0,2,0,2,57O4tza-G4pyxvSJqoCeiw,high,5,5,1,Medium
2014-04,0,6,4,6,aJPvE3SHu3EUwNlihdMZ6A,high,4,5,1,Medium
2014-05,2,4,0,12,nVSpJQC1ULMKgiC8ItT6sQ,high,3,1,1,Low
2014-05,3,5,2,4,5WeKX-kOyEaV5FoZTO62zQ,high,4,5,1,Medium
2014-06,0,2,1,4,VXbKx1v7MiwtYk6B9RhQ6g,high,1,5,1,Medium
2014-06,0,1,0,2,ene1l8g5o9C7acgMmLTmAQ,high,4,1,1,Low
2014-06,0,2,1,1,ocF-SoSGaDMa1FSK3B5L6Q,high,4,5,1,Medium
2014-08,1,2,1,3,hCg_ciYGZwiBLCjhglm3yg,high,2,1,1,Low
2014-08,1,2,0,1,BoptmH4qSxBYsR66-inxrg,high,1,1,1,Low
2014-08,7,24,2,19,GM-NXA_k3-q3uTaCruO_SA,high,2,5,1,Medium
2014-09,0,0,0,1,mPHG5rz2KwdVPsVlTDP-nQ,high,5,5,1,Medium
2014-11,1,0,1,1,d74kXnFb5hRjhTaqJdLMmQ,high,1,5,3,High
2015-01,1,7,4,13,e1cqfdEUzgNjLVfNCiI9XQ,high,3,5,1,Medium
2015-02,0,1,0,1,idTnpnHR3VgNjSTSSo7_Sw,high,5,5,1,Medium
2015-02,2,2,0,11,jcQBeLjjCYJZpXlRx0cFJw,high,4,5,1,Medium
2015-02,0,0,0,2,IfqCziL7kBW8Cv6CezpQHg,high,1,5,1,Medium
2015-04,0,4,0,5,I8Oi5bLk0lE3dzYyICOsPg,high,5,1,1,Low
2015-04,0,4,0,1,IMLaq97-mSfErHmlVqp2Bw,high,5,5,1,Medium
2015-05,0,1,0,1,ya-olSB7-_-xZVFJ0nN7pg,high,5,5,1,Medium
2015-06,0,0,0,2,oFxYTvBK5VlPWDogeMG9Ww,high,3,5,1,Medium
2015-06,4,6,6,12,MeJGjV2IVY263AiW9dM5cQ,high,4,5,1,Medium
2015-06,1,1,0,6,IXNLuYvU8hcaP4YutiySqg,high,3,5,1,Medium
2015-08,1,0,0,2,gDswOSSm2SMeEeifibB_VA,high,5,5,1,Medium
2015-09,0,0,0,2,GFpdPyx_dnrYc51S16Iqrw,high,5,5,1,Medium
2015-10,1,0,0,2,J-6dTnfnolqNIil61bFrkw,high,3,1,1,Low
2004-10,167,277,134,139,anTtulQ9G2b3SipCEwGVHg,high,3,1,3,Medium
2007-08,1,26,5,11,wbb2WvPvxZe_wqQKEmxHnw,high,4,5,1,Medium
2008-11,14,41,17,67,gdf9ftAOMms8JToU52uX2A,high,4,1,1,Low
2008-11,13,43,14,23,NbEe0F-Frp_N3Sov368o4w,high,3,1,1,Low
2008-11,185,491,291,246,kvWAieuO61gBdRfnApgzfQ,high,3,1,1,Low
2009-08,36,176,36,84,_YodLaLdnyEsRxlwnEDS_A,high,3,5,1,Medium
2009-08,0,4,2,13,LRdq4puCbJHsC8-90qCB_Q,high,4,1,1,Low
2010-02,587,960,410,340,XpNYhS7EnzTozA4CAkje4g,high,3,5,3,High
2010-02,3,4,2,6,abLcOZguUX8D8A5FL8KdZw,high,3,1,1,Low
2010-02,318,952,321,306,o2CGc1kQHEFkYOECM3NFdg,high,3,1,3,Medium
2010-04,3,40,4,38,KOm9tgGv1XNMY_TlJQe7Ng,high,4,1,1,Low
2010-07,1,4,1,2,DpMDDzli_85-0HvKOK17HQ,high,4,1,1,Low
2010-10,30,131,42,121,VYbjpyemrkG0SXKT1j9vAA,high,3,5,1,Medium
2010-10,0,3,0,7,c_vG5beP5B1jBOjJJ8s2ig,high,4,5,1,Medium
2011-01,2,5,2,9,s8xCqXbWDFkeKkXfGCczTQ,high,3,1,1,Low
2011-01,2,8,2,5,lPAplDqTRrb6heRXrc5heA,high,3,5,1,Medium
2011-02,6,11,5,44,vrWm4LsszPA-QlTUuQQAFQ,high,4,5,1,Medium
2011-02,2,21,4,27,FkKyW6x1sepjRtAgvxJl6w,high,3,1,1,Low
2011-03,14,36,11,31,4a_6pd9v_8qThTq53oQMaQ,high,4,1,1,Low
2011-03,1,11,1,7,yqFSxK7Htp-HYLl8SgOixQ,high,3,5,1,Medium
2011-03,2,4,1,11,ysZSP646Ikjb9pPKxuBurw,high,4,1,1,Low
2011-05,238,357,253,126,xkB0lTWeBFNNiN5byHrJEw,high,3,1,3,Medium
2011-05,3,23,3,11,AzBIbWdMcRde8vYnk_q17g,high,2,5,1,Medium
2011-05,1,5,0,10,Wzx0fzVPUjcIa7NaO5P3VQ,high,3,1,1,Low
2011-05,2,30,3,28,pZF2DnMT1_KWvg3M85ThoQ,high,4,5,1,Medium
