id,name,category,stars,review_count,checkins
eT5Ck7Gg1dBJobca9VFovw,Giant Eagle,Food,4 stars,449,519
HwwEfnZKLNOUoqfgcwAgcQ,Barnes & Noble Booksellers,Misc,2 stars,58,391
EoAY1JSVeJriBzId8lUQwQ,Bar Louie,Shopping&Ent,5 stars,529,706
uI0LvTXFACid1308KFO5ew,Sandcastle Water Park,Shopping&Ent,5 stars,476,792
TfvWSIAMFZ9zI3y2-K6wOA,The Dragon Chinese Cuisine,Food,4 stars,222,457
tU-YtoW339PXJmUGSix_AQ,TGI Fridays,Shopping&Ent,1 stars,142,152
6p9TlP2I8S4agxYMNFSDjg,Uno Pizzeria & Grill,Food,4 stars,62,496
Eu3Iwje0YY8ectr-CxMgqg,Bath & Body Works,Shopping&Ent,4 stars,526,612
XhbC5Qj5nBcqcKLPRd8izQ,Victorias Secret,Shopping&Ent,4 stars,530,638
FituZ4jYzRe41ac9uvcHaQ,LOFT,Shopping&Ent,3 stars,182,500
JDDeaNfb0JXD1NbznSIC9g,P.F. Changs China Bistro,Food,4 stars,172,470
oPX8bpZ3dqviYQuic0Ahqw,Gordon Shoes,Shopping&Ent,2 stars,140,172
FiXamVMgMf9U0VqFHDZSEA,Panera Bread,Food,4 stars,74,379
ISKLP0qxApATxRlUDob6Cg,Target,Shopping&Ent,1 stars,38,72
DMy5IG-dNrH4ARk96KngEA,Mens Wearhouse,Shopping&Ent,4 stars,551,566
rdATJvFQK4C73NIQ3zoY3w,DSW Designer Shoe Warehouse,Shopping&Ent,3 stars,149,669
g10zmpUzmMJOOIjj_JJPvg,Bed Bath & Beyond,Shopping&Ent,1 stars,51,124
eznh0XjVtv924K-KYx_ilQ,Eatn Park,Food,4 stars,208,409
LQFWH1AKJlXGmEBlIKsBCw,TJ Maxx,Shopping&Ent,2 stars,76,274
LO2CjrNL8DXkvm9uALgRjQ,Marshalls,Shopping&Ent,2 stars,187,302
usSROUMiAgPcxV3Ym0OxMQ,Mitchells Fish Market,Food,4 stars,505,764
qfL7ZFkxqDZOPIaVVfT3Aw,Old Navy,Shopping&Ent,4 stars,319,644
GlYPVYSOVT7zn00Kk_Oz4g,Dicks Sporting Goods,Misc,2 stars,334,471
bCw9HKDFLU_PppnNg-nIlw,Giant Eagle,Food,4 stars,601,745
CL3tZqbYT7B5zgewKCS6-Q,McDonalds,Food,4 stars,86,105
u22QDAON1kk0wjoTliyftw,Latina Pizza,Food,4 stars,271,315
4ykgzzzGEWjMD5lwk1-l9A,Big Bang Bicycles,Misc,2 stars,39,72
53Yk2EODWnV9qHQECzeHVQ,Bellisario Pizza Shop,Food,4 stars,176,244
hnHt6EinzC-IX6y3GSF7jw,Minerva Bakery,Food,4 stars,40,67
LiMXTPwanF3LkkKHklFCjw,Pierogies Plus,Services,2 stars,223,223
GJAv1nAfnHuab8oRyr8mXg,Eatn Park Restaurant,Food,4 stars,84,130
r8BwdblCW-ZUES37BL0khw,Broadway Brunch,Food,4 stars,263,315
mIiHJkpK8nZvW_45LlhrbA,Pasquarellis Pizza House,Food,4 stars,397,520
OZfpG8tDCcIEq8pzgZdyKw,Applebees,Shopping&Ent,1 stars,88,161
OSYHPhvDWMqBRDZblqGiZA,Giant Eagle,Food,4 stars,26,101
8Nm_jcCYtMXYW0ODSHDiXA,Sapporo Japanese Steakhouse,Food,4 stars,43,514
9tAbTDdYTASHL7EU1e-OWw,Ricci Italian Sausage,Food,4 stars,417,591
T49ZvBa6mD4xHSmjHe-ArA,R & Bs Pizza Place,Food,4 stars,262,457
eOv0Dbq2E8sd0CKMAqTImw,Luigis Pizzeria,Food,4 stars,120,533
_jsJFrAmFVPRio0eEVExbA,McDonalds,Food,4 stars,29,55
dEuJ4A6v1lUDKF8wWwxy_w,Avalon Motel,Food,4 stars,140,237
jTAKV9zLlAjouAKh4Wd7Yg,Star Nails,Services,1 stars,70,98
JX2gDf2uy2UGuKPpcKT-IA,Wendys,Food,4 stars,381,552
jaT6pO-oUOuTBozfdB9NvA,Avalon Veterinary Hospital,Services,5 stars,642,668
7wT532x2Qz5Hw9BqtBapqw,Lincoln Bakery,Food,4 stars,53,460
udZJ8YgsHdqtFDQkyPTV1Q,Arbys,Misc,2 stars,253,338
oMoSc4tTay_THqF4Ke_WrQ,Kuhns Market,Food,4 stars,209,272
kKmvSJ6Z8UVPdrnL74bqrg,Red White & Blue Thrift Store,Misc,2 stars,53,82
ucKQlQvOeJxETLNkpKcaSw,Rusty Nail,Food,4 stars,278,405
Rjx8GcWuCzfVsKC5iPIcQA,Remember When,Food,4 stars,233,771
s74Tq6WKV1b91UFRr7ch7g,Pistella Beer Distributors,Food,4 stars,148,805
ZL6DNzyenFm9Kpz6uADlNg,Pinos Contemporary Italian Restaurant & Wine Bar,Food,4 stars,24,69
G-PlXGCY3G4zNOUzD61ZDA,Brunos Garage,Services,2 stars,106,205
BG4N0V93wml9kaU6YYRxRA,Giant Eagle,Food,4 stars,55,58
rM-yscH8mBLYvpWnmvuPMw,Supercuts,Services,3 stars,184,713
OcTG-KzDleuRub-pb6JS3Q,Eddies Pizza Haus,Food,4 stars,52,70
Y2p07YEC8xOsYTHWf0UxiA,Tasty Chinese Restaurant,Food,4 stars,94,352
g58NW9q4F09wTMiI7EIjmg,Ventos Pizza,Food,4 stars,36,84
Pu5uzlZ05pqVlx6LcZbfgw,Minutellos Restaurant & Lounge,Food,4 stars,395,595
w8N1BIB2MiP53PM7ouYPQQ,Shell,Services,3 stars,294,313
VkFDer80GOrelWALdgNReg,Animal Rescue League Shelter & Wildlife Center,Misc,2 stars,203,377
vXBc-i30S0eypUVy7TA6cw,CVS Pharmacy,Shopping&Ent,4 stars,497,577
UFhcxnTzfLO-ROftyP_ukw,Goodyear Auto Service Center,Shopping&Ent,2 stars,202,233
83_p9vIqOq1TUIf3_GD7bA,Tazza Doro Cafe & Espresso Bar,Food,4 stars,243,405
1xRLO1NM8-3soskp2fEgyw,Club One,Shopping&Ent,3 stars,125,747
Ts4xsKPU7FNPPZRj-nRjIg,Buffalo Blues,Shopping&Ent,3 stars,229,595
UtWJ8NGMg-3z28s0RzlUoQ,China Garden,Food,4 stars,73,722
Nnk1gNKSi_12ziNuK2llxA,Arhaus Furniture,Shopping&Ent,1 stars,57,208
t15LDNaHFpu-bAEJSdoV-g,Monro Muffler Brake & Service,Shopping&Ent,5 stars,489,803
bZcqORBnVApUA2-SEn7VEQ,McDonalds,Food,4 stars,54,372
WWlNzfSllSQhr4whj0W_ng,Walters Automotive,Services,2 stars,130,209
R03p_2AxXpNtM31lutbnkA,Kelly Strayhorn Theater,Shopping&Ent,3 stars,151,590
YMEtEsUDQKOYJOcE5Fx3gQ,Food Glorious Food,Food,4 stars,319,442
#NAME?,AAA,Food,4 stars,191,317
1IwQhGGOrVNGGQskR_3uLw,Carnegie Library of Pittsburgh - East Liberty,Services,4 stars,365,626
ZDKi3qsO8lSSogrIdbLJKg,Shadow Lounge,Shopping&Ent,3 stars,103,616
qA1PXTv0snTO1gpNPm-Jfw,The Home Depot,Shopping&Ent,1 stars,99,102
riqqVx-LssGUErBeQisKng,Pittsburgh Glass Center,Shopping&Ent,4 stars,250,761
fp-tknN_5XBmhUS4fSJBgQ,Mt. Ararat Baptist Church,Misc,2 stars,46,198
B9C6j80ob0f1pwi1Cnnd1Q,Pizza Parma,Food,4 stars,90,270
wfCLz9-aeShbPB7CaTY-qQ,Whole Foods Market,Food,4 stars,218,322
XC9blQA9Mk4w7oKVJ0nJXw,Time Bomb Spot,Shopping&Ent,2 stars,206,278
2SwC8wqpZC4B9iFVTgYT9A,Casbah,Shopping&Ent,3 stars,241,474
PzG0XmAmtXFs6Fdnubf41g,Quiet Storm Vegetarian & Vegan Cafe,Food,4 stars,46,139
lHP5STO7aomlEQixH8m1aA,Pizza Perfectta,Food,4 stars,185,474
0TvxDhCKPQ-_dDyffEnJQQ,Point Breeze Veterinary Clinic,Services,3 stars,73,790
EPILrBqmgQxd-R1gZ1EWJg,Frick Park Market,Food,4 stars,106,138
#NAME?,East End Food Co-Op,Health&Fitness,1 stars,53,162
PavTvJ4JSe9rAwjlr-wrsg,Construction Junction,Services,1 stars,65,138
5V1K5DRpGrObijbtCuPbcg,The Climbing Wall,Shopping&Ent,4 stars,282,745
l_Wey2YC6NvVUIH8vTygGg,Cafe Zinho,Food,4 stars,102,698
XWLtYPhCpHht5Zn52zp3-Q,Frick Art & Historical Center,Shopping&Ent,2 stars,257,319
cuuJJ9W3tYmidaLvlzvPBw,Izzazu Salon,Health&Fitness,1 stars,357,738
2PfavOTufsPCRdYm-bFcpw,Page Dairy Mart,Food,4 stars,284,393
qUeBDN0D8SC93KeAHhiL-g,Alla Famiglia,Misc,2 stars,171,284
LltDzuzRbAJbSrqD4JH-3A,Hunan Wok Chinese Takeout,Food,4 stars,229,244
VkqKyq09rDYMhFk5nElWWA,Bishops Pizza,Food,4 stars,58,683
QIJa5h2d65Bgh82zct7c7A,Frank & Shirleys Restaurant,Food,4 stars,153,191
PTkChuI3GPCw-ZL1Iph76A,DiCarlos Original Pizza,Food,4 stars,78,347
YRDKsBFYP7G0E8BLJKIkvA,The Park House,Shopping&Ent,4 stars,304,793
IxQ1ATP_Wg_QujO9nywzcQ,Maxs Allegheny Tavern,Food,4 stars,41,93
TyIsuojeKcTb4Acfg7xqew,China Taste,Food,4 stars,288,687
oj8bMz76cKXQClpFTFNW9w,North Shore Deli,Food,4 stars,470,623
hBAcj7X5JHeX2hvmptwH-w,The Priory Hotel,Food,4 stars,51,303
k1A8pNspBPinGDivxkuDSA,Clark Bar & Grill,Shopping&Ent,2 stars,117,244
e5DtayybW4jbKcDBwEUmOQ,Mullins Diner,Misc,2 stars,48,48
Z7HNl4Gz00cA0_wt0S-vSw,BreadWorks,Food,4 stars,62,199
OjzR6hUYasFReo0vhVn0-w,Teutonia Mannerchor,Food,4 stars,74,80
6AnorAMPkTdSDbUkOoV1Rw,Billys Troy Hill Bistro,Food,4 stars,101,431
0Ov1O2Gd0dwjkSaj5NJbhg,Rangos Omnimax Theater,Shopping&Ent,2 stars,127,265
EEuGTah-oEssSl3o6pK-ZQ,Carnegie Museums of Pittsburgh,Shopping&Ent,3 stars,203,467
49nxzKLr2qQnLF58qo2p1w,Heinz USA,Misc,4 stars,130,784
q_BKmbdlYfQJroJVHfYMUQ,Legends North Shore,Misc,4 stars,423,457
zq--BGVHu7_fb1VHEwg2ow,Caruso Beer Distributor,Food,4 stars,374,544
99WYCuBEsO7OUCDWbbrrew,Subway,Food,4 stars,251,716
cZl7-Um4HiJWFgDVmMan2Q,Giant Eagle,Food,4 stars,280,704
vMCCvnDU-Iz_D_pmbcMqzA,Peanutz,Shopping&Ent,3 stars,196,599
xMekAmDsCdhk21Buf9ucSQ,Cool Beans Coffee,Food,4 stars,599,678
hUV4bjXE8Ijd-pDNr8S6mA,Steves New York Hotdog Shop,Food,4 stars,71,179
Z101WZaISochG6g7tI2ZVw,Atrias Restaurant,Food,4 stars,232,306
-Gfj1gA0Ir07zToO-4fBpw,Childrens Museum of Pittsburgh,Shopping&Ent,5 stars,692,790
Eixtf79t1_ZKaC-7J2kAWg,Pickles Pizza & Sandwich Emporium,Food,4 stars,58,292
Z0OGW8PysysRXE0dR7QxQQ,Wilsons Bar-B-Q,Food,4 stars,402,422
5GS5sBSscgcex0IFTDL9Bg,Pittsburgh Steelers,Shopping&Ent,4 stars,168,802
fB7XYJYrTtchlTmzSQVMbQ,Pittsburgh Pirates,Shopping&Ent,2 stars,113,485
obAdXU3RULuUOww759_h_w,Tom Fridays Market,Food,4 stars,477,529
AAcw9y30cRuMo0oa8UBiIw,Wiseguys Pizza,Food,4 stars,143,438
YUZVBdGmagwXV-yOhR-1GQ,Millers Seafood House,Food,4 stars,103,172
OIL-eZX8d10jgWPLW-E7zA,Chubbys Pizza & Hoagies Northside,Food,4 stars,54,103
N2DwycuZl95miWf39Yskaw,Schorr Bakery,Food,4 stars,177,301
PSlOtPIo28BvWOzdLmRRRQ,Knossos Gyros & Sis-Kabob,Shopping&Ent,4 stars,206,765
0zO219KZJf-5QsRNRMmELQ,Pennzoil 10 Minute Oil Change Center,Misc,4 stars,188,717
7KjZ49Xrb6QWjnu5NlxzVw,Apple Inn,Shopping&Ent,3 stars,406,409
Wnn1GtvvtnkFdPfdRcYW-Q,Moonstones,Shopping&Ent,3 stars,49,732
9NL2GL4jSPVj9SKijH5PqA,Kuhns Market,Food,4 stars,323,558
dWVFS5Jiu6Ee7vOLc2T6-w,West Liberty Cycles,Misc,4 stars,48,278
uie9L4ZrCvDdkSdByOVTLQ,The Coffee Tree Roasters,Food,4 stars,25,179
wan0X-oHpLgGTPXqaICZCw,Huddle,Shopping&Ent,3 stars,212,650
QnyzlVMyx0Exri-Lay10cA,Sushi Three,Food,4 stars,70,494
81sqVj0xHyJXGYT0ip5fmQ,Green Garden,Food,4 stars,634,731
Wn5bLgkx_S7W1q2TeoLL1g,Breakers,Shopping&Ent,3 stars,183,594
m61vZsAxmTEq3uiCjFjM8Q,Toms Diner,Food,4 stars,621,657
WY6FFxpa6ztwDH5OhS6WDw,Potomac Bakery,Food,4 stars,181,364
nvrXLcmknaYuiGRquWhwIQ,Days Inn Pittsburgh,Food,4 stars,322,337
93UCt9OgWYmypZCpXtUu8g,Betos Pizza,Food,4 stars,719,794
LV_OCiR9rOHVHgdhbpqw2Q,Scoops On Beverly,Food,4 stars,416,583
cRv7pLvIe3eI0efndQBcLg,Banksville Beer,Food,4 stars,753,808
za5fND9-pXyVSk5rM28MsQ,Slapshots,Shopping&Ent,4 stars,236,724
ORTRrw3ClZ0Ld0LgY1H_5g,Eatn Park Restaurant,Food,4 stars,39,100
9aw0t0rlACKkMaxsX0KlKA,Dairy Queen,Food,4 stars,91,99
#NAME?,PICT Classic Theatre,Shopping&Ent,1 stars,31,243
5Udv4CASAXB2eH66TefWPQ,Cains Saloon,Food,4 stars,276,569
l4zq494c6zfNUJrMcd9Y1w,The Laundry Basket,Services,4 stars,267,712
2Igiyhi82R8_QaaPplRmCw,The Dor-Stop Restaurant,Food,4 stars,177,371
Cex2R008tMFg8R5fAtf77w,Campitis Don Pizzeria,Food,4 stars,350,356
n7G2XFGvmS3duDJ4AzjKiQ,Namaste India,Food,4 stars,57,57
8tBfgYCI6Fz9xrSYCYCYXA,Maharaja Restaurant,Food,4 stars,135,188
Tb7hQ37UFA2QFaMwjFieQw,Arbys,Food,4 stars,329,369
21hqlWgjmNgW4pBZJDuziQ,Market On Broadway IGA,Food,4 stars,327,643
qemCNgjeYGcFsRwxW9x4xw,Bados Pizza Grill And Ale House,Shopping&Ent,1 stars,60,195
iudRNo5Q8W7firUBYJEqQQ,Little Nippers Pizza,Food,4 stars,303,512
9rbWt_PX8qVVN-nEJv3A9Q,Supercuts,Services,2 stars,123,438
oTojBCc-Lex09Fww3QmWWg,Staples,Services,5 stars,499,793
WxN-aV_puFazt3UGNLlw0A,McBroom Distributor,Food,4 stars,35,421
2X5G4Ujq0s4Wfn4TC7gX0g,Ds Six Pax & Dogz,Shopping&Ent,2 stars,114,346
evIbqjnN4ePd9eT4L4WsIw,Pub In the Park,Shopping&Ent,3 stars,281,440
7lDNKKxMV84KIS1OVZOepw,Murphys Tap Room,Shopping&Ent,2 stars,83,307
XQ7elqSFIRogvqpiTZz-Wg,Dunnings Grill,Food,4 stars,101,109
JL5B_s1EoN4zIru4JSw4Qg,Taco Bell,Food,4 stars,31,586
D9sHwmqlNkrVxmX-057i1g,Katerbean,Food,4 stars,163,422
DzOPHyrG2XuVqKEvHCnN7w,Triangle Bar & Grill,Shopping&Ent,2 stars,229,276
_8xYpVdKMllhuuf4PIvq8w,Giant Eagle,Food,4 stars,331,543
K8Ebs8G1rwc3DBdznHvDxg,Wendys,Food,4 stars,186,655
SNJHgqJPj5SZhntFdsDUeg,Kmart,Shopping&Ent,3 stars,52,566
IraPoq6RFLTX9KCuT0UsGw,The Edgewood Club,Shopping&Ent,3 stars,189,452
h3la53L9-OX_HlfeAySh0Q,Applebees,Shopping&Ent,2 stars,180,320
eXWCtwGcaJgMz6WRNR9Beg,Bp Oil Company,Services,2 stars,226,284
1vQLTKwmcmZXtNzfKEvMmA,Benihana,Food,4 stars,329,599
hhNlQWaKqGbMPoeZHoL-IQ,Mad Mex - South Hills,Food,4 stars,253,789
GEw1pLdbMlJecvQkKBIgSw,Pizza Hut,Food,4 stars,395,564
EiKoZpEcjG1B_r8G9laAxg,Crate,Food,4 stars,188,705
zvqxmVZgJ0XpJfb1Xn5jKQ,Giant Eagle,Food,4 stars,267,743
SgQYRICpMdWCmY7wM2Cmcw,Max & Ermas,Food,4 stars,443,571
TWjJpG5TqzVfJb7WeLUvMw,Jiffy Lube,Services,2 stars,81,331
b_9N-v-me-QavqDVKQPVJQ,National Tire & Battery,Shopping&Ent,1 stars,25,272
m0QsJDntW1MrWCxBVFwuAg,Wendys,Food,4 stars,154,196
uwiD9jxs09xxXG0by_xKuA,Brueggers Bagels,Food,4 stars,150,182
f0eAe5PZMy_MEvxEEBYAcQ,Starbucks,Food,4 stars,364,376
sNmQJQWEVGheCnw5Tf4Phg,Panera Bread,Food,4 stars,303,343
36a2h_kADYEoBOr3rtaj1Q,Three Rivers Regatta,Food,4 stars,46,204
jrSGpWnVJy8jqgN6XSC7Nw,Aracris Greentree Inn,Food,4 stars,200,476
EtnMSBRlMQWrdTla-jz9RA,Tramps Restaurant,Shopping&Ent,1 stars,88,89
KZXtzoI84iI1CEcAnD7OPA,Vincents of Greentree,Food,4 stars,710,721
zhQzX3CxM0tdBXwGUWmxGA,Better-Maid Donut,Food,4 stars,147,335
c1ixeRdwTvNt6YLew-sSCg,Parkway Center Mall,Shopping&Ent,1 stars,54,76
AJiwOb0s5zpYu0NW7Jvrpg,Best Western - Parkway Center Inn,Food,4 stars,92,738
zpNGtjBlIkDq_PLGSCPlAg,Olive Garden Italian Restaurant,Shopping&Ent,1 stars,108,169
chDzLfj8CqvsJq4wzW1ZqQ,Holiday Inn Express & Suites Pittsburgh West - Greentree,Food,4 stars,55,325
Ml6Up5SH9GbJQ8oyIJsj_g,Clarion Hotel,Food,4 stars,105,207
ZS7-I04iDm4oRP_GJsJqrA,Boston Market,Services,2 stars,228,306
xSYGuHecEWP7At0HYbO5Jg,Einstein Bros Bagels,Food,4 stars,155,569
7ijQJV72aBrEoJCtTBCHxw,Starbucks,Food,4 stars,116,134
OmpbTu4deR3ByOo7btTTZw,Princess Nails,Services,3 stars,385,405
ih6d7hBWss05xXWUznuFaw,MCN Salon,Services,4 stars,402,547
oH-N5ONrsWK8jWuq8p653w,Kennys Nail Center,Services,3 stars,177,595
FtjvnLhh51ZBYEpKAARaFQ,Soho,Food,4 stars,505,511
z4cCguoHdU48pj6sXMIzqg,Original Fish Market,Food,4 stars,168,230
sbTF0cLKZH6_BP8BLARVDg,Bossa Nova,Shopping&Ent,4 stars,465,474
OxIeMVcop5oxBUWANi-1Rw,Olive Or Twist,Shopping&Ent,2 stars,227,234
imzKM9-mgN1Yk_RIXx3IgA,Sunseri Jimmy & Nino,Food,4 stars,198,207
1n0n_-Iz0e3iVpH8sereiA,Port Authority of Allegheny County,Food,4 stars,83,160
IEHaU93HpEbdUO4z4bKzDw,Jo Jos Restaurant,Food,4 stars,129,251
9D4PMia-8WqCYXnr7TM0Pw,Labads,Food,4 stars,629,736
Jj7EE1vPUaKHykA7WzlIew,Penn Fixture & Supply Co,Shopping&Ent,2 stars,78,300
NeUf9FyCCIN4MEseNyqkXQ,Primanti Bros,Food,4 stars,234,325
JcP-IIrZkW_Yyv4a0yLRCw,Monte Cellos Downtown,Food,4 stars,484,637
4LcFKTr6Ah87VcxW2z5e6w,McDonalds,Food,4 stars,41,87
buVALudg30kgkDusqB3yJw,Reyna Foods,Food,4 stars,569,707
wHi8ODv7TGmeUB02XoX-mA,Rolands Seafood Grill,Food,4 stars,116,332
4tMGXYHN_0o0B6mnuYHhmg,Jos A Bank,Shopping&Ent,5 stars,588,722
J7I85lTCEGr9-qp6AXPUjQ,Nicholas Coffee,Food,4 stars,555,713
WXpi9z1bqF9raZSW8z70Ow,Salonika Gyros,Food,4 stars,101,266
WV2OClFHiG0_obPY559cKA,Cvs/Pharmacy,Shopping&Ent,2 stars,169,374
j7kgLc4Uys_sb-H7_Velcg,Brown Bag Delis,Food,4 stars,82,235
DhDNNHZtaBxYNSqJz64ixg,La Gondola Pizzeria & Restaurant,Misc,4 stars,695,802
PxP19Rb88OQKiSMl2oWNsg,Christos Mediterranean Grille,Food,4 stars,27,66
9mwShpTgZofOujt4JfyGmw,Spaghetti Warehouse,Misc,4 stars,126,536
porUqRPcw8GoTSvZoMH0ag,Society For Contemporary Craft,Shopping&Ent,1 stars,77,131
90Fqfzd8zD9AuuNBSv9lAg,Mortons The Steakhouse,Food,4 stars,122,208
DHAq_WmQwjk7gviKXwqnjg,New Sambok Oriental Foods,Food,4 stars,68,665
pfS0Bd-sXZyMNr73kJPeaw,Gateway Center Cafeteria,Food,4 stars,155,216
shrMOQmX_SX-KualwYoAzA,Au Bon Pain Co,Food,4 stars,523,649
BdTRQw4z-bxVfDlv-JSb7g,The Pennsylvanian,Services,2 stars,150,376
lRM-3Fwp3RkK-wecxO8P8w,Saks Fifth Avenue,Shopping&Ent,2 stars,134,278
cWe1Xoczmj2vD5h6BOrZYg,Weldins,Shopping&Ent,5 stars,593,783
KEzIorUdFjqCuxbRxKPghA,Mamma Lucia Pizza,Food,4 stars,82,98
f0lx8pPqhcMUCJgURzMUSw,Pittsburgh Opera,Shopping&Ent,2 stars,188,319
pvGT62T6Ci1LKOS9DL42pg,Peppis,Food,4 stars,30,737
SWzCFTM7KHc-MncD6xxOYQ,La Prima Espresso Co,Food,4 stars,259,342
_JFJMiT1xo4A-F0LiG_0WQ,Cardamones Salon,Services,3 stars,269,598
aqNwplp89UTe8dfGXj_yKA,Pittsburgh CLO,Services,4 stars,516,526
DAOt75CziuEyRyEH2hQ2JQ,Fifth Avenue Beanery,Food,4 stars,187,349
OT3yVpDrDVITDCIYox8d9A,Buon Giorno Cafe,Misc,4 stars,103,177
lVB0HB2PxC9OTtMcz0wagA,Lotus Food,Food,4 stars,162,486
#NAME?,Reweaving & Reknitting Shop,Services,4 stars,329,606
8AskFIgGxqNb8RbcDCAfmA,Madonnas Restaurant,Food,4 stars,51,67
A2XkbJ07hrR80t0EFgLikQ,Smithfield Cafe,Food,4 stars,307,346
fVRGT6shuyHPLzKikZsD0g,Carnegie Library of Pittsburgh,Services,3 stars,43,609
3jPNfiRYdu-tlJM4OGF3og,Cool Beans Coffee,Food,4 stars,99,602
NqmdaI1GX8LOTRYlMGlTsw,Roxannes Dried Flowers,Shopping&Ent,5 stars,506,760
1qGq_IcIQLEESnVNMQ52xQ,Heidioptics,Shopping&Ent,1 stars,47,72
L5387MoRyx9orlRyYfCSPA,Andys Sushi Bar,Food,4 stars,426,442
8BUJXN2fU15kclyTA3KhAw,Fort Pitt Candy Co,Food,4 stars,121,298
dHDi4wCcjsOR6vcZ8oOIoA,Sushi Kim Restaurant,Food,4 stars,185,201
hHUxynhRliO0rdjgPYesOw,Pittsburgh Public Theater,Shopping&Ent,2 stars,178,410
AcD5G-u_GvLSnL4Vppq80A,The Midwife Center For Birth & Womens Health,Health&Fitness,1 stars,30,76
41CXLCeB8z2oNdIOvnrzIA,Redfin Blues,Food,4 stars,76,568
F1dtFd0GnSioCfIo4gAtkw,Hot Haute Hot,Shopping&Ent,2 stars,204,215
YKQ09HGeV3_oiKp8NK7Zqg,Kim DO Oriental Grocery,Food,4 stars,93,414
NL1zxchs_XJPTdCQ-jqPDw,Denham & Company Salon,Services,2 stars,158,401
OhwF2JDqlYMZl5Rp3WRBog,Arbys,Food,4 stars,488,801
l2gPB9mqiHSbpwSUa7zrjg,F. Tambellini Ristorante,Misc,4 stars,783,793
gfpl_GyyY5uj6zJnIdzImQ,Caffe Amante,Food,4 stars,106,331
l-OmDgEd4QkZpyXVpkp2yA,Villa Reale Pizzeria & Restaurant,Food,4 stars,527,624
NezYty89H0PtLr76V17Z-Q,Salon Nuvo,Services,4 stars,481,581
0FgwBx7pgmNdUtsd_T8UYQ,Ruths Chris Steak House,Food,4 stars,45,276
l6d9-LxY8gM6v7WxehHfwg,Ullrich Shoe Repair,Services,5 stars,521,789
U_7v32SpCrB-0pR0B8Fg2Q,Smithfield News,Misc,4 stars,177,226
SzHTdZR3yY1WBYUxkVxmUQ,Papa Js Centro,Misc,4 stars,27,162
WzQrtfz7DSQEv2CK82zhcg,Images Bar,Shopping&Ent,2 stars,234,362
gFT2yXDXJ1qfuGOSfSU5Bw,Mon Aimee Chocolat,Food,4 stars,24,598
cg8b1FGcl-Sytfa8UlCcjg,Einstein Bagels,Food,4 stars,163,336
UQSGL98JH8346Uv9B9Ec0g,Stans Market,Food,4 stars,186,759
kj3qws3WSMgOotUeACSdFA,Klavons Ice Cream Parlor,Food,4 stars,370,636
